date,stock_code,stock_name,pick_price,prev_close,pick_day_change,next_day_change,success
20260320,603501,豪威集团,86.72,103.64,-1.8,-1.8,0
20260323,300497,富祥药业,20.66,14.29,19.97,19.97,1
20260323,300531,优博讯,15.15,16.77,17.69,17.69,1
20260324,300554,三超新材,27.36,21.99,3.0,3.0,1
20260324,300638,广和通,19.0,25.52,10.56,10.56,1
20260325,002497,雅化集团,19.99,21.98,5.98,5.98,1
20260325,600226,亨通股份,10.53,4.74,5.08,5.08,1
20260326,300054,鼎龙股份,95.07,45.67,20.01,20.01,1
20260326,301377,鼎泰高科,590.0,180.72,-4.95,-4.95,0
20260327,002532,天山铝业,11.08,15.85,9.99,9.99,1
20260327,688308,欧科亿,187.66,75.87,20.0,20.0,1
20260330,688059,华锐精密,202.0,118.59,4.75,4.75,1
20260330,688257,新锐股份,99.89,70.58,4.12,4.12,1
20260331,600711,盛屯矿业,10.66,12.62,9.63,9.63,1
20260331,600801,华新建材,16.98,21.21,10.0,10.0,1
20260401,300373,扬杰科技,135.76,69.62,4.39,4.39,1
20260401,300839,博汇股份,11.95,13.9,19.99,19.99,1
20260402,000729,燕京啤酒,9.96,13.9,9.98,9.98,1
20260402,603992,松霖科技,31.03,33.46,0.09,0.09,1
20260403,000685,中山公用,11.08,10.78,0.84,0.84,1
20260403,300821,东岳硅材,20.15,11.08,19.98,19.98,1
20260407,300475,香农芯创,301.0,123.49,20.0,20.0,1
20260408,605189,富春染织,12.4,14.68,10.03,10.03,1
20260409,300458,全志科技,39.89,28.88,16.19,16.19,1
20260410,002439,启明星辰,12.56,12.94,10.03,10.03,1
20260413,002838,道恩股份,32.29,27.48,0.87,0.87,1
20260414,002033,丽江股份,8.25,9.06,9.96,9.96,1
20260415,600768,宁波富邦,15.21,16.06,9.98,9.98,1
20260416,600727,鲁北化工,7.1,6.94,10.01,10.01,1
20260417,002961,瑞达期货,19.87,23.86,4.34,4.34,1
20260420,000810,创维数字,12.24,12.17,6.33,6.33,1
20260421,600595,中孚实业,5.54,8.56,1.95,1.95,1
20260422,300607,拓斯达,39.57,26.85,12.53,12.53,1
20260423,002377,国创高新,2.57,3.22,9.97,9.97,1
20260424,301629,矽电股份,432.27,318.2,15.8,15.8,1
